race_id,race_mae
2022_R06,1.277810001373291
2022_R07,1.3808094024658204
2022_R08,0.823110693693161
2022_R09,1.3316760063171387
2022_R10,0.9546972393989563
2022_R11,0.9466889917850494
2022_R12,0.843116819858551
2022_R13,1.5551344275474548
2022_R14,1.1442116856575013
2022_R15,0.768374788761139
2022_R16,0.5930145978927612
2022_R17,1.1949350237846375
2022_R18,0.6680153012275696
2022_R19,0.9587938725948334
2022_R20,0.9009373009204864
2022_R21,0.9464162886142731
2022_R22,0.5992697358131409
2023_R01,1.0814893662929534
2023_R02,0.8604103147983551
2023_R03,0.7894477903842926
2023_R04,0.7585316717624664
2023_R05,0.9141544699668884
2023_R06,0.6907432734966278
2023_R07,0.8616211414337158
2023_R08,0.653090089559555
2023_R09,0.4761199951171875
2023_R10,0.7755980610847473
2023_R11,0.5033984661102295
2023_R12,0.4803208827972412
2023_R13,1.0816355526447297
2023_R14,0.5138025403022766
2023_R15,0.6840061783790589
2023_R16,0.6856092810630798
2023_R17,0.6187086462974548
2023_R18,0.7378542006015778
2023_R19,0.530923330783844
2023_R20,0.8476948797702789
2023_R21,1.2862728357315063
2023_R22,0.4873477280139923
2024_R01,0.44636452198028564
2024_R02,0.26860012412071227
2024_R03,0.3186585965909456
2024_R04,0.3003020644187927
2024_R05,0.41532790660858154
2024_R06,0.3683987379074097
2024_R07,0.9369191527366638
2024_R08,0.3936626076698303
2024_R09,0.670240992307663
2024_R10,0.2766806364059448
2024_R11,0.5199101150035859
2024_R12,0.38408098816871644
2024_R13,0.32595757246017454
2024_R14,0.38380239605903627
2024_R15,0.8596805572509766
2024_R16,0.3228235900402069
2024_R17,0.43211081624031067
2024_R18,0.30887666940689085
2024_R19,0.46936185359954835
2024_R20,0.3472716808319092
2024_R21,1.1958438158035278
2024_R22,0.36515231132507325
2024_R23,0.2780617713928223
2024_R24,0.3337153732776642
2025_R01,0.8547673106193543
2025_R02,0.4829735517501831
2025_R03,0.30598596930503846
2025_R04,0.37060208320617677
2025_R05,0.25734671354293825
2025_R06,0.23046938180923462
2025_R07,0.3250067710876465
2025_R08,0.4056656301021576
2025_R09,0.35897608179795115
2025_R10,0.3515201807022095
2025_R11,0.31570842266082766
2025_R12,0.4258522927761078
2025_R13,0.36923696398735045
2025_R14,0.26407521963119507
2025_R15,0.24559151530265808
2025_R16,0.2240779995918274
2025_R17,0.3754769921302795
2025_R18,0.2841212809085846
2025_R19,0.2702657163143158
2025_R20,0.2832230687141418
2025_R21,0.19301664233207702
2025_R22,0.3483058214187622
2025_R23,0.2718474268913269
2025_R24,0.20253625512123108
