race_id,driver_id,p5,p95,actual_position,covered
2022_R01,Max Verstappen,17.7155743598938,18.996591186523435,19.0,0
2022_R01,Daniel Ricciardo,11.091876029968262,14.479978036880482,14.0,1
2022_R01,Lando Norris,12.57088565826416,15.606586456298828,15.0,1
2022_R01,Nicholas Latifi,12.733098888397217,15.300359725952148,16.0,0
2022_R01,Pierre Gasly,17.485125923156737,19.923553466796875,20.0,0
2022_R01,Sergio Perez,16.990375518798828,18.38204689025879,18.0,1
2022_R01,Fernando Alonso,6.615854239463806,9.718694734573365,9.0,1
2022_R01,Charles Leclerc,1.0415042638778687,2.1457087993621826,1.0,0
2022_R01,Lance Stroll,9.470751762390137,12.225351333618164,12.0,1
2022_R01,Kevin Magnussen,3.8583089470863343,4.13073878288269,5.0,0
2022_R01,Yuki Tsunoda,6.4401123285293576,9.046513938903809,8.0,1
2022_R01,Alexander Albon,10.94437928199768,13.609651803970337,13.0,1
2022_R01,Guanyu Zhou,7.448057842254639,10.027735805511474,10.0,1
2022_R01,Nico Hulkenberg,14.349007940292358,18.467983436584472,17.0,1
2022_R01,Esteban Ocon,5.285754537582397,7.102040553092956,7.0,1
2022_R01,Lewis Hamilton,2.235975754261017,2.8991907358169557,3.0,0
2022_R01,Mick Schumacher,8.563125562667846,10.997190380096436,11.0,0
2022_R01,Carlos Sainz,1.3593734502792358,2.068594431877136,2.0,1
2022_R01,George Russell,2.930253028869629,4.464323019981384,4.0,1
2022_R01,Valtteri Bottas,5.2568382024765015,5.8794732093811035,6.0,0
2022_R02,Max Verstappen,1.0,2.9292346358299257,1.0,1
2022_R02,Daniel Ricciardo,13.594946050643921,18.67894868850708,17.0,1
2022_R02,Lando Norris,5.551879572868347,7.515955758094788,7.0,1
2022_R02,Nicholas Latifi,15.837966918945312,20.0,18.0,1
2022_R02,Pierre Gasly,6.713214707374573,8.506101036071778,8.0,1
2022_R02,Sergio Perez,3.9883002758026125,6.445401763916015,4.0,1
2022_R02,Fernando Alonso,14.049157238006591,17.242187118530268,16.0,1
2022_R02,Charles Leclerc,1.2450814247131348,3.616166114807129,2.0,1
2022_R02,Lance Stroll,11.117392539978027,14.56251826286316,13.0,1
2022_R02,Kevin Magnussen,7.030000257492065,10.528691482543945,9.0,1
2022_R02,Yuki Tsunoda,16.20843505859375,20.0,19.0,1
2022_R02,Alexander Albon,11.384093284606934,14.999167346954346,14.0,1
2022_R02,Guanyu Zhou,9.055046081542969,11.286229753494263,11.0,1
2022_R02,Nico Hulkenberg,9.689318799972535,12.469290399551392,12.0,1
2022_R02,Esteban Ocon,4.4619035720825195,8.696795463562012,6.0,1
2022_R02,Lewis Hamilton,8.107134151458741,11.7091064453125,10.0,1
2022_R02,Mick Schumacher,17.916957950592042,20.0,21.0,0
2022_R02,Carlos Sainz,2.0921927094459534,6.0671186447143555,3.0,1
2022_R02,George Russell,4.104264259338379,6.958317732810974,5.0,1
2022_R02,Valtteri Bottas,12.50851559638977,15.985720300674439,15.0,1
2022_R03,Max Verstappen,17.30153636932373,19.70587329864502,18.0,1
2022_R03,Daniel Ricciardo,4.805394506454467,6.369057464599609,6.0,1
2022_R03,Lando Norris,3.633161783218384,7.221987581253051,5.0,1
2022_R03,Sebastian Vettel,16.820921993255617,19.92977647781372,19.0,1
2022_R03,Nicholas Latifi,13.23366322517395,16.366538524627686,16.0,1
2022_R03,Pierre Gasly,6.968356990814209,9.973436260223389,9.0,1
2022_R03,Sergio Perez,1.5012495636940002,4.327996444702148,2.0,1
2022_R03,Fernando Alonso,14.916646909713744,17.555721378326417,17.0,1
2022_R03,Charles Leclerc,1.0,3.9802312850951997,1.0,1
2022_R03,Lance Stroll,9.440916872024536,12.229977464675903,12.0,1
2022_R03,Kevin Magnussen,12.408328199386597,15.598775911331177,14.0,1
2022_R03,Yuki Tsunoda,12.23769998550415,16.75158472061157,15.0,1
2022_R03,Alexander Albon,8.341733503341676,9.96473822593689,10.0,0
2022_R03,Guanyu Zhou,8.738109445571899,11.545384645462036,11.0,1
2022_R03,Esteban Ocon,5.963925790786743,8.711104726791381,7.0,1
2022_R03,Lewis Hamilton,3.0427206993103026,6.0720878601074215,4.0,1
2022_R03,Mick Schumacher,10.52959156036377,13.655631875991801,13.0,1
2022_R03,Carlos Sainz,17.850821495056152,19.943077087402344,20.0,0
2022_R03,George Russell,2.5541598320007326,5.154007816314698,3.0,1
2022_R03,Valtteri Bottas,6.391337513923645,9.269741821289058,8.0,1
2022_R04,Max Verstappen,1.0,1.985726124048233,1.0,1
2022_R04,Daniel Ricciardo,14.959904670715332,18.140716552734375,18.0,1
2022_R04,Lando Norris,2.2903077602386475,5.335356187820435,3.0,1
2022_R04,Sebastian Vettel,6.728076004981995,8.69739065170288,8.0,1
2022_R04,Nicholas Latifi,12.554724073410034,16.417837715148927,16.0,1
2022_R04,Pierre Gasly,9.98488187789917,13.469548749923705,12.0,1
2022_R04,Sergio Perez,1.4626151323318481,2.0993447303771973,2.0,1
2022_R04,Fernando Alonso,16.766674041748047,19.376423168182374,19.0,1
2022_R04,Charles Leclerc,4.54793643951416,6.204107761383057,6.0,1
2022_R04,Lance Stroll,8.650332069396972,10.692848491668702,10.0,1
2022_R04,Kevin Magnussen,6.800734043121338,11.427719116210938,9.0,1
2022_R04,Yuki Tsunoda,5.533155179023742,8.860676288604736,7.0,1
2022_R04,Alexander Albon,8.724991846084595,11.744019508361816,11.0,1
2022_R04,Guanyu Zhou,12.996224212646485,16.354003429412842,15.0,1
2022_R04,Esteban Ocon,12.172983503341674,15.834674549102782,14.0,1
2022_R04,Lewis Hamilton,11.030254364013672,13.800368118286134,13.0,1
2022_R04,Mick Schumacher,15.080128383636474,18.046514415740965,17.0,1
2022_R04,Carlos Sainz,19.6070499420166,20.0,20.0,1
2022_R04,George Russell,3.1116182804107666,6.09698486328125,4.0,1
2022_R04,Valtteri Bottas,3.89032781124115,6.614090371131897,5.0,1
2022_R05,Max Verstappen,1.0,3.5544655203819273,1.0,1
2022_R05,Daniel Ricciardo,10.98274884223938,13.346918773651122,13.0,1
2022_R05,Lando Norris,15.733015298843384,19.21169204711914,19.0,1
2022_R05,Sebastian Vettel,16.1448992729187,17.284171390533448,17.0,1
2022_R05,Nicholas Latifi,10.863763523101806,14.425871515274048,14.0,1
2022_R05,Pierre Gasly,14.678475856781006,18.007211685180664,18.0,1
2022_R05,Sergio Perez,2.8551667809486387,4.623267602920532,4.0,1
2022_R05,Fernando Alonso,8.891134071350098,12.090306329727174,11.0,1
2022_R05,Charles Leclerc,1.5895546078681946,4.95513916015625,2.0,1
2022_R05,Lance Stroll,9.487185907363891,11.914277076721191,10.0,1
2022_R05,Kevin Magnussen,12.610265398025513,18.107267475128175,16.0,1
2022_R05,Yuki Tsunoda,9.39226312637329,12.968933200836181,12.0,1
2022_R05,Alexander Albon,6.418715381622315,9.800536823272704,9.0,1
2022_R05,Guanyu Zhou,17.339241313934327,20.0,20.0,1
2022_R05,Esteban Ocon,6.767578125,9.235984563827515,8.0,1
2022_R05,Lewis Hamilton,5.068366527557373,7.342477321624756,6.0,1
2022_R05,Mick Schumacher,11.777290868759156,17.053103256225587,15.0,1
2022_R05,Carlos Sainz,1.479626202583313,5.109310150146484,3.0,1
2022_R05,George Russell,3.669879937171936,6.8373712539672855,5.0,1
2022_R05,Valtteri Bottas,5.1649657726287845,8.729487419128418,7.0,1
2022_R06,Max Verstappen,1.0,1.6017712354660034,1.0,1
2022_R06,Daniel Ricciardo,9.771204233169556,13.188023567199707,12.0,1
2022_R06,Lando Norris,6.873636245727539,8.42535400390625,8.0,1
2022_R06,Sebastian Vettel,8.590120601654053,12.006421613693238,11.0,1
2022_R06,Nicholas Latifi,12.505675888061523,16.572087287902832,16.0,1
2022_R06,Pierre Gasly,11.148477697372437,13.874704647064208,13.0,1
2022_R06,Sergio Perez,1.694953852891922,2.499190330505371,2.0,1
2022_R06,Fernando Alonso,7.410926294326782,8.964616775512695,9.0,0
2022_R06,Charles Leclerc,16.672134399414062,20.0,20.0,1
2022_R06,Lance Stroll,12.460120248794556,16.551383209228515,15.0,1
2022_R06,Kevin Magnussen,12.592778539657592,17.716798782348633,17.0,1
2022_R06,Yuki Tsunoda,8.302182912826538,10.325536823272705,10.0,1
2022_R06,Alexander Albon,15.049273014068604,19.476322841644286,18.0,1
2022_R06,Guanyu Zhou,16.422584533691406,19.828617286682128,19.0,1
2022_R06,Esteban Ocon,5.237096786499023,6.982650279998779,7.0,0
2022_R06,Lewis Hamilton,3.842698574066162,4.633670926094055,5.0,0
2022_R06,Mick Schumacher,11.594803094863892,15.554838371276855,14.0,1
2022_R06,Carlos Sainz,2.267906904220581,4.484330654144287,4.0,1
2022_R06,George Russell,1.8772164940834046,2.378181290626526,3.0,0
2022_R06,Valtteri Bottas,5.1124989032745365,5.373442602157593,6.0,0
2022_R07,Max Verstappen,1.84732905626297,2.4959643363952635,3.0,0
2022_R07,Daniel Ricciardo,11.19001202583313,13.803030729293823,13.0,1
2022_R07,Lando Norris,4.486595249176025,5.96538782119751,6.0,0
2022_R07,Sebastian Vettel,7.245555114746094,10.82119107246399,10.0,1
2022_R07,Nicholas Latifi,11.56899118423462,15.637778902053833,15.0,1
2022_R07,Pierre Gasly,8.833781814575195,12.192925262451173,11.0,1
2022_R07,Sergio Perez,1.0,1.0,1.0,1
2022_R07,Fernando Alonso,5.7335680484771725,7.004047489166259,7.0,1
2022_R07,Charles Leclerc,3.601970911026001,4.6893985033035275,4.0,1
2022_R07,Lance Stroll,10.879823017120362,15.225829553604125,14.0,1
2022_R07,Kevin Magnussen,18.221284294128417,20.0,20.0,1
2022_R07,Yuki Tsunoda,13.764616680145263,17.2006534576416,17.0,1
2022_R07,Alexander Albon,14.202769422531128,19.14387102127075,18.0,1
2022_R07,Guanyu Zhou,12.799326992034912,15.207177591323852,16.0,0
2022_R07,Esteban Ocon,9.546728610992432,12.915627002716064,12.0,1
2022_R07,Lewis Hamilton,6.778390002250672,8.840812587738037,8.0,1
2022_R07,Mick Schumacher,14.747641468048096,19.395019626617433,19.0,1
2022_R07,Carlos Sainz,1.0298691987991333,2.43930628299713,2.0,1
2022_R07,George Russell,3.858563184738159,4.225302457809448,5.0,0
2022_R07,Valtteri Bottas,7.8582007646560665,9.461439990997315,9.0,1
2022_R08,Max Verstappen,1.0,1.4410698652267455,1.0,1
2022_R08,Daniel Ricciardo,6.325046825408935,9.348952293395996,8.0,1
2022_R08,Lando Norris,7.212292623519898,10.092760515213012,9.0,1
2022_R08,Sebastian Vettel,4.595567941665649,7.496912002563477,6.0,1
2022_R08,Nicholas Latifi,11.847042989730834,16.15507640838623,15.0,1
