race_id,driver_id,p5,p95,actual_position,covered
2022_R01,Max Verstappen,17.815595626831055,18.97166633605957,19.0,0
2022_R01,Daniel Ricciardo,11.800406694412231,14.42432689666748,14.0,1
2022_R01,Lando Norris,12.669576644897461,15.049548292160035,15.0,1
2022_R01,Nicholas Latifi,13.8931884765625,15.306833267211914,16.0,0
2022_R01,Pierre Gasly,18.86653690338135,19.9394474029541,20.0,0
2022_R01,Sergio Perez,17.159029006958008,18.216975784301756,18.0,1
2022_R01,Fernando Alonso,7.000959801673889,9.079708242416382,9.0,1
2022_R01,Charles Leclerc,1.0371745824813843,2.1457087993621826,1.0,0
2022_R01,Lance Stroll,10.263976669311523,12.156337213516235,12.0,1
2022_R01,Kevin Magnussen,3.86792197227478,4.028863430023193,5.0,0
2022_R01,Yuki Tsunoda,6.653861045837402,8.653651237487793,8.0,1
2022_R01,Alexander Albon,11.096847486495971,13.459207248687743,13.0,1
2022_R01,Guanyu Zhou,8.116533946990966,9.739165306091309,10.0,0
2022_R01,Nico Hulkenberg,14.837462425231934,18.205425262451172,17.0,1
2022_R01,Esteban Ocon,6.1578474044799805,6.591768264770508,7.0,0
2022_R01,Lewis Hamilton,2.1217939853668213,2.801556098461151,3.0,0
2022_R01,Mick Schumacher,9.182925796508789,10.496613454818725,11.0,0
2022_R01,Carlos Sainz,1.3925221979618072,1.9860140085220337,2.0,0
2022_R01,George Russell,3.6967339515686035,4.461367344856262,4.0,1
2022_R01,Valtteri Bottas,5.2568382024765015,5.877379894256592,6.0,0
2022_R02,Max Verstappen,1.0,2.9309585213661196,1.0,1
2022_R02,Daniel Ricciardo,14.027918386459351,18.162157249450683,17.0,1
2022_R02,Lando Norris,5.8333711385726925,7.330961036682129,7.0,1
2022_R02,Nicholas Latifi,16.95073127746582,19.291215896606445,18.0,1
2022_R02,Pierre Gasly,6.772742056846619,8.260611295700073,8.0,1
2022_R02,Sergio Perez,3.983904492855072,6.4470454454422,4.0,1
2022_R02,Fernando Alonso,15.249140739440918,16.951845169067383,16.0,1
2022_R02,Charles Leclerc,1.2450814247131348,3.616166114807129,2.0,1
2022_R02,Lance Stroll,11.509598588943481,14.144452095031738,13.0,1
2022_R02,Kevin Magnussen,7.595902442932129,10.283128595352172,9.0,1
2022_R02,Yuki Tsunoda,16.907394409179688,19.770101165771486,19.0,1
2022_R02,Alexander Albon,12.282293510437011,14.402983331680298,14.0,1
2022_R02,Guanyu Zhou,9.486598825454712,10.659910154342631,11.0,0
2022_R02,Nico Hulkenberg,10.223512649536133,12.402696514129639,12.0,1
2022_R02,Esteban Ocon,4.465940952301025,8.698352813720703,6.0,1
2022_R02,Lewis Hamilton,8.754927062988282,11.62336859703064,10.0,1
2022_R02,Mick Schumacher,18.679798221588136,20.0,21.0,0
2022_R02,Carlos Sainz,2.0921927094459534,6.0671186447143555,3.0,1
2022_R02,George Russell,4.108035087585449,6.953005313873291,5.0,1
2022_R02,Valtteri Bottas,12.554017591476441,15.802631425857545,15.0,1
2022_R03,Max Verstappen,17.47358112335205,19.722691154479982,18.0,1
2022_R03,Daniel Ricciardo,4.836371898651123,6.2960474491119385,6.0,1
2022_R03,Lando Norris,3.6279594898223877,7.268460154533386,5.0,1
2022_R03,Sebastian Vettel,17.41321392059326,19.637963199615477,19.0,1
2022_R03,Nicholas Latifi,13.868607330322266,16.322766876220705,16.0,1
2022_R03,Pierre Gasly,7.887252449989319,9.744823169708251,9.0,1
2022_R03,Sergio Perez,1.4850190103054046,4.252922987937927,2.0,1
2022_R03,Fernando Alonso,15.305522394180297,17.10551223754883,17.0,1
2022_R03,Charles Leclerc,1.0,3.980409193038925,1.0,1
2022_R03,Lance Stroll,10.190731143951416,12.094778919219971,12.0,1
2022_R03,Kevin Magnussen,12.613380861282348,14.70651879310608,14.0,1
2022_R03,Yuki Tsunoda,12.638611030578613,16.39953899383545,15.0,1
2022_R03,Alexander Albon,8.809799242019654,10.00715093612671,10.0,1
2022_R03,Guanyu Zhou,9.094196891784668,11.017934274673461,11.0,1
2022_R03,Esteban Ocon,6.023766565322876,8.698512697219849,7.0,1
2022_R03,Lewis Hamilton,3.045274531841278,6.068635368347168,4.0,1
2022_R03,Mick Schumacher,10.723824977874756,12.81374135017395,13.0,0
2022_R03,Carlos Sainz,19.078643798828125,19.943077087402344,20.0,0
2022_R03,George Russell,2.5578222274780273,5.153850412368774,3.0,1
2022_R03,Valtteri Bottas,6.846780753135681,8.991126775741577,8.0,1
2022_R04,Max Verstappen,1.0,2.0068154335021973,1.0,1
2022_R04,Daniel Ricciardo,16.614519119262695,18.135154438018798,18.0,1
2022_R04,Lando Norris,2.285476493835449,5.341001558303833,3.0,1
2022_R04,Sebastian Vettel,6.745803713798523,8.411805152893066,8.0,1
2022_R04,Nicholas Latifi,14.257429122924805,16.3839168548584,16.0,1
2022_R04,Pierre Gasly,10.11909065246582,12.934279203414917,12.0,1
2022_R04,Sergio Perez,1.4541441202163696,1.9368971288204193,2.0,0
2022_R04,Fernando Alonso,18.450422286987305,19.166940689086914,19.0,1
2022_R04,Charles Leclerc,4.54793643951416,6.209376883506775,6.0,1
2022_R04,Lance Stroll,8.808629608154297,10.265591192245484,10.0,1
2022_R04,Kevin Magnussen,6.834269046783447,11.421416282653809,9.0,1
2022_R04,Yuki Tsunoda,6.0995192527771,8.650934553146362,7.0,1
2022_R04,Alexander Albon,8.960617303848267,11.424785614013672,11.0,1
2022_R04,Guanyu Zhou,13.109479618072509,16.231857013702392,15.0,1
2022_R04,Esteban Ocon,12.329058647155762,14.893366432189941,14.0,1
